id;estado;condicion;fecha_fabricacion;km;patente;precio
1;USADO;EN_VENTA;2026-03-20;17362;ignite;10840.68
2;USADO;RESERVADO;2026-03-20;12033;neat reorganisation uh-huh;9834.35
3;USADO;RESERVADO;2026-03-20;8829;indeed alligator;26582.67
4;USADO;VENDIDO;2026-03-20;30341;reproach before yippee;28647.13
5;NUEVO;EN_VENTA;2026-03-20;3;commandeer yuck;4201.95
6;NUEVO;EN_VENTA;2026-03-20;4773;confusion beside whereas;21263.43
7;USADO;EN_VENTA;2026-03-20;15602;hunt rationalize while;10894.05
8;USADO;VENDIDO;2026-03-20;19053;well-made than amid;23156.6
9;NUEVO;RESERVADO;2026-03-20;23276;where yahoo hmph;8229.02
10;NUEVO;VENDIDO;2026-03-20;9455;slushy;26546.21
11;USADO;VENDIDO;2026-03-20;13365;joyously dramatize;6631.21
12;USADO;EN_VENTA;2026-03-20;30831;quart ridge valiantly;7475.53
13;NUEVO;RESERVADO;2026-03-20;21531;how unit;11025.97
14;USADO;VENDIDO;2026-03-20;18383;depot once;2144.69
15;USADO;EN_VENTA;2026-03-20;8626;on;25739.4
16;USADO;RESERVADO;2026-03-20;29321;afore silk oof;918.71
17;NUEVO;RESERVADO;2026-03-20;14623;opposite now eek;28849.67
18;NUEVO;VENDIDO;2026-03-20;26172;structure pile heartfelt;25227.82
19;NUEVO;RESERVADO;2026-03-20;22254;tenderly;14421
20;USADO;RESERVADO;2026-03-20;4364;that affectionate;14423.87
21;USADO;RESERVADO;2026-03-20;20232;pillory;29464.24
22;NUEVO;VENDIDO;2026-03-20;22783;how bare;15235.68
23;NUEVO;VENDIDO;2026-03-20;14584;e-mail;6104.87
24;USADO;EN_VENTA;2026-03-20;3896;along;3370.61
25;NUEVO;RESERVADO;2026-03-20;13524;brisk;11052.14
26;USADO;EN_VENTA;2026-03-20;5767;for;35.52
27;USADO;VENDIDO;2026-03-20;28225;while;29979.13
28;NUEVO;VENDIDO;2026-03-20;11316;drat uh-huh slope;12477.78
29;USADO;VENDIDO;2026-03-20;18521;hence loyally where;16514.71
30;NUEVO;RESERVADO;2026-03-20;1435;whoa;2223.45
