id;nombre;descripcion
1;whereas;travel snarling deflect
2;ew denitrify;amongst afore
3;ugh sizzling;lashes
4;geez past windy;far-flung
5;boiling accidentally;gosh cruelly
6;past;realistic so sadly
7;dress inasmuch;upon aha
8;t-shirt regularly although;brush
9;unexpectedly untidy abseil;critical
10;oxidize medium remarkable;cassava
11;uh-huh;positively gadzooks
12;father anneal mesh;overstay
13;onto now when;avalanche upliftingly why
14;eek where;toward hastily
15;below;beneath teammate
16;messy;definite viciously
17;frail;under
18;till cheerful;overspend
19;range whack;beside gadzooks if
20;oof;gape times
21;besides even across;meanwhile ew shoulder
22;instructive hence;partridge pish apostrophize
23;caring sprinkles;um
24;epic wobbly;tomorrow by ha
25;until even barring;and
26;but wisely yogurt;elevation
27;gah;forenenst
28;dull wriggler;wherever drat
29;gift replicate;caption sew upsell
30;minus;into so resolve
