id;nombre;descripcion
1;boo intrigue shampoo;yuck besides recklessly
2;cumbersome;factorize pfft
3;before from;whale forenenst dearest
4;pupil dead until;forceful whoever mechanic
5;since;separately
6;sell aha;within ick inside
7;beneath;rectangular typify
8;suffocate likewise;barring ostrich imagineer
9;psst safely provider;whose
10;roughly;chunder sermon hunt
11;pish;meaningfully
12;with whose;content
13;towards;and inside populist
14;gadzooks;following next
15;offensively awesome;since coil advertisement
16;shipper;throughout
17;frizz fooey bleak;mysteriously
18;cloudy duh gosh;perky
19;impressive scarper who;rich
20;actually pixellate whether;often restaurant
21;who oof fully;righteously
22;valiantly oof;tut aw
23;skateboard;boo yuck exonerate
24;if passionate gosh;knuckle
25;how;by over
26;perfectly march;upwardly
27;inculcate;yesterday eventually
28;foolishly exalt space;hm satirise behind
29;gee reschedule;shrilly
30;sting;typeface yum
