id;numero_comprobante;fecha_emision;importe_neto;impuesto;total;created_date
1;eke intensely;2026-03-25T04:58:08;1556.69;9346.13;2878.09;2026-03-25T18:05:52
2;mooch;2026-03-25T08:15:01;17166.86;13337.53;19805.55;2026-03-25T13:17:28
3;premium beyond boohoo;2026-03-25T04:39:56;16555.37;20674.68;31925.6;2026-03-25T08:18:12
4;once irk outflank;2026-03-25T07:14:44;19913.49;26325.18;27866.07;2026-03-25T18:55:07
5;unless without;2026-03-24T20:29:20;18284.84;21980.13;5776.72;2026-03-25T06:15:25
6;valiantly important executor;2026-03-25T16:53:48;451.57;13084.85;13913.58;2026-03-25T03:13:52
7;insistent gee till;2026-03-25T14:15:49;19143.21;11484.56;16461.4;2026-03-25T10:55:26
8;loosely;2026-03-25T01:59:39;30937.78;7087.95;461.78;2026-03-25T11:27:25
9;synergy down;2026-03-25T17:55:43;23309.39;27052.6;19769.42;2026-03-25T19:34:26
10;mmm;2026-03-24T22:01:53;20570.81;17913.9;20467.5;2026-03-25T07:45:52
11;thankfully;2026-03-25T06:41:30;32017.3;30043.4;22312.91;2026-03-24T21:20:27
12;ack;2026-03-25T13:53:13;29840.73;30061.43;13055.95;2026-03-25T16:28:16
13;forager absent er;2026-03-24T22:18:55;12934.87;29197.8;28491.66;2026-03-25T15:44:16
14;incidentally;2026-03-25T12:58:41;11060.83;19594.68;2909.14;2026-03-25T03:25:29
15;inquisitively;2026-03-25T17:53:10;12066.81;17755.83;22946.03;2026-03-25T07:31:38
16;boo geez;2026-03-25T00:54:42;4179.8;19877.23;17587.87;2026-03-25T01:11:23
17;ick excluding knottily;2026-03-24T21:51:42;19860.17;22314.61;179.16;2026-03-25T00:58:20
18;tentacle;2026-03-24T20:30:09;11225.84;25932.61;28966.04;2026-03-25T14:31:05
19;duh fill;2026-03-25T15:31:05;23568.25;3659.73;15668.21;2026-03-25T15:26:11
20;since repentant;2026-03-25T13:04:13;17018.4;29133.9;15808.42;2026-03-25T11:12:33
21;twine amongst overconfidently;2026-03-25T13:33:08;17645.65;13153.12;12859.29;2026-03-25T14:22:08
22;rewrite hospitable coil;2026-03-24T21:43:27;4672.17;24100.73;25916.32;2026-03-25T01:36:05
23;import;2026-03-25T17:10:27;19391.64;3116.94;30997.86;2026-03-25T00:07:47
24;and;2026-03-25T10:33:37;1835.42;25229.85;15127.44;2026-03-25T18:01:59
25;consequently instead hmph;2026-03-25T12:58:11;21264.21;4450.96;8654.02;2026-03-25T06:16:03
26;eventually sans;2026-03-25T07:19:55;27805.96;31641.46;14111.67;2026-03-25T08:27:59
27;mmm classic yippee;2026-03-25T11:23:13;11318.45;23920.92;14187.36;2026-03-25T16:53:03
28;besides;2026-03-25T19:47:46;11828.38;18165.8;32077.04;2026-03-25T01:05:33
29;plus;2026-03-25T17:00:50;1317.36;11066.61;26988.12;2026-03-25T15:12:41
30;opposite;2026-03-25T03:04:59;18527.48;32376.3;17241.32;2026-03-25T03:08:11
