id;codigo;descripcion
1;frank traditionalism by;pace goat now
2;microchip unexpectedly down;iterate content
3;after incidentally whose;aw
4;over;beside
5;why beneath;which yahoo armoire
6;whenever;with
7;blowgun certainly aside;cross recovery
8;fragrant;fen tensely
9;kinase within remarkable;welcome
10;license symbolise whereas;indeed pressure
11;than beneath;tensely entice instead
12;welcome joshingly incidentally;onto taxicab drat
13;feminize confused stage;depot gadzooks
14;while;minus gleefully or
15;develop;highly sell
16;impressionable;when flame rusty
17;intermesh tender;amendment courageous into
18;because which ouch;beneath
19;as inwardly plus;unless not
20;noteworthy;next regulate
21;anguished furthermore dishearten;unimpressively instead hovel
22;shadowy dish;pivot notwithstanding
23;boiling;helplessly drat
24;synergy clamor minion;and remorseful
25;ew pfft;waist ack
26;eek dress paralyse;relative camouflage gah
27;forecast deployment hefty;husky ha
28;pace yahoo;yahoo well exactly
29;within;but
30;impanel besmirch seafood;handful
