id;precio_unitario;cantidad;subtotal
1;20789.2;8348;18167.82
2;5081.95;17608;31874.59
3;24983.16;13463;421.38
4;25376.68;24205;5256.34
5;25917.55;27306;6760.34
6;19422.18;7511;21252.24
7;5728.9;2150;6451.5
8;14690.34;15100;25230.23
9;3099.13;19507;22488.77
10;30402.74;13581;1170.39
11;25254.05;31509;20739.32
12;18091.96;15526;7929.35
13;13057.41;1245;31910.88
14;14309.6;27281;5430.12
15;11986.01;12592;16991.92
16;31234.5;22221;10227.24
17;26636.96;24301;26744.1
18;28391.63;19787;1592.07
19;13371.05;20552;15254.42
20;18629.61;22276;17499.18
21;21489.87;1551;9783.4
22;17077.7;24776;17921.75
23;6437.64;7160;8449.29
24;10414.21;23457;1932.59
25;29030.29;30817;22842.89
26;22091.56;16608;7103.37
27;8852.43;627;20666.37
28;21405.29;26929;16908.97
29;400.81;26138;4094.5
30;17461.34;12506;13783.45
