id;fecha_ingreso;ubicacion;estado_inventario;observaciones;disponible;created_date;last_modified_date;fecha_reserva;fecha_vencimiento_reserva
1;2026-03-26T01:15:49;inside angrily commonly;DISPONIBLE;populist furthermore hunger;true;2026-03-25T19:35:38;2026-03-25T19:18:47;2026-03-25T22:37:03;2026-03-26T15:59:02
2;2026-03-26T13:50:58;livid;RESERVADO;ew section descendant;false;2026-03-25T21:39:12;2026-03-26T09:10:56;2026-03-26T15:55:03;2026-03-26T00:29:16
3;2026-03-26T04:36:26;bookend;RESERVADO;across glow;false;2026-03-25T19:59:29;2026-03-26T12:31:53;2026-03-25T19:34:38;2026-03-25T18:44:42
4;2026-03-25T22:23:10;hunger huzzah;VENDIDO;noisily;false;2026-03-25T23:18:10;2026-03-25T18:42:47;2026-03-26T13:22:41;2026-03-26T01:20:25
5;2026-03-26T14:34:45;bind er;RESERVADO;underneath furiously gadzooks;false;2026-03-26T10:07:30;2026-03-26T07:53:49;2026-03-26T01:48:14;2026-03-26T13:46:56
6;2026-03-26T15:18:08;diligently;RESERVADO;divine eek;true;2026-03-26T04:52:20;2026-03-26T06:06:04;2026-03-26T13:32:58;2026-03-25T19:42:36
7;2026-03-26T01:53:23;boohoo;DISPONIBLE;concerning;true;2026-03-25T22:24:03;2026-03-26T02:54:28;2026-03-26T14:44:57;2026-03-25T17:38:18
8;2026-03-26T15:45:23;solidly bah deduct;DISPONIBLE;slimy that lawful;true;2026-03-26T11:34:33;2026-03-26T16:25:53;2026-03-26T11:44:45;2026-03-25T21:25:53
9;2026-03-26T07:23:39;bitterly;RESERVADO;alienated apostrophize;false;2026-03-26T17:09:47;2026-03-25T22:19:36;2026-03-26T06:33:57;2026-03-25T21:21:00
10;2026-03-25T22:35:30;separately boohoo;VENDIDO;eek governance;false;2026-03-26T12:33:38;2026-03-26T07:19:17;2026-03-26T04:16:33;2026-03-26T15:05:19
11;2026-03-26T14:19:36;uh-huh strict;RESERVADO;boohoo after;false;2026-03-26T02:44:25;2026-03-26T08:52:07;2026-03-26T09:23:30;2026-03-25T21:49:56
12;2026-03-26T10:39:20;gosh;RESERVADO;absentmindedly;false;2026-03-26T14:52:24;2026-03-26T01:52:14;2026-03-25T18:26:35;2026-03-26T14:20:51
13;2026-03-25T21:52:53;converse what;VENDIDO;well-groomed;true;2026-03-25T23:14:12;2026-03-26T06:21:04;2026-03-26T08:19:14;2026-03-26T14:05:29
14;2026-03-26T05:43:46;accurate quizzically silently;VENDIDO;stealthily disarm;true;2026-03-26T11:59:24;2026-03-25T18:10:36;2026-03-25T23:42:59;2026-03-26T04:01:06
15;2026-03-26T13:06:59;supposing;RESERVADO;although ew;true;2026-03-26T00:26:04;2026-03-26T02:55:02;2026-03-25T23:06:53;2026-03-26T13:11:18
16;2026-03-26T16:50:37;complete qua;VENDIDO;including;false;2026-03-25T22:28:26;2026-03-26T10:55:02;2026-03-26T08:31:11;2026-03-26T09:50:46
17;2026-03-26T01:19:18;ack;RESERVADO;jovially;false;2026-03-26T08:53:36;2026-03-26T10:43:17;2026-03-26T13:48:00;2026-03-25T23:26:45
18;2026-03-25T21:26:30;clearly;DISPONIBLE;snoopy;true;2026-03-26T05:06:59;2026-03-25T18:29:38;2026-03-26T07:05:02;2026-03-25T18:28:09
19;2026-03-25T19:49:46;indeed;RESERVADO;until woot;true;2026-03-26T02:21:01;2026-03-26T16:33:04;2026-03-26T07:32:37;2026-03-26T10:45:48
20;2026-03-26T00:01:04;until paintwork;DISPONIBLE;next whoa ick;true;2026-03-26T10:53:24;2026-03-26T09:31:59;2026-03-26T03:10:52;2026-03-25T21:13:51
21;2026-03-25T23:31:39;midst sailor redraw;DISPONIBLE;faraway gadzooks assail;true;2026-03-26T09:21:29;2026-03-26T15:13:02;2026-03-26T11:26:26;2026-03-26T07:18:43
22;2026-03-26T03:19:22;gadzooks shrilly;RESERVADO;whereas entice apropos;true;2026-03-26T09:21:57;2026-03-26T12:27:14;2026-03-26T15:50:17;2026-03-26T00:45:46
23;2026-03-26T14:52:48;digit rejoin beneath;DISPONIBLE;saturate fully;true;2026-03-26T05:09:33;2026-03-26T11:47:55;2026-03-25T23:24:24;2026-03-26T05:37:22
24;2026-03-26T10:26:51;certainly while spiffy;RESERVADO;rapid barring;false;2026-03-26T15:47:35;2026-03-26T09:53:11;2026-03-26T03:58:49;2026-03-26T06:35:22
25;2026-03-26T16:25:18;proper while though;RESERVADO;plumber during;false;2026-03-26T04:03:13;2026-03-26T11:58:51;2026-03-26T00:38:12;2026-03-26T04:08:33
26;2026-03-26T04:29:36;ignorance in;RESERVADO;connect ride pfft;false;2026-03-26T08:15:24;2026-03-26T10:10:27;2026-03-26T11:41:50;2026-03-26T08:34:22
27;2026-03-25T21:50:39;attend throughout prestigious;VENDIDO;fathom;true;2026-03-26T12:14:50;2026-03-26T04:57:38;2026-03-26T07:05:31;2026-03-26T00:17:03
28;2026-03-25T21:17:12;yum;DISPONIBLE;yuck gosh;false;2026-03-25T20:07:34;2026-03-26T14:07:54;2026-03-26T16:01:30;2026-03-25T18:53:56
29;2026-03-26T16:01:59;punctually among woot;VENDIDO;over;true;2026-03-26T17:04:42;2026-03-25T20:11:37;2026-03-25T20:10:02;2026-03-26T02:19:01
30;2026-03-26T03:04:18;phooey drain before;VENDIDO;loyally jiggle;true;2026-03-26T07:22:11;2026-03-26T06:41:00;2026-03-25T20:47:51;2026-03-25T23:18:32
