id;codigo;descripcion;activo;requiere_referencia
1;early tabletop after;carp for attest;false;false
2;ha needily;pro whether outnumber;true;true
3;pension haversack;arrange;true;false
4;limply scornful;taxicab singe;false;false
5;save;poppy tattered;false;false
6;yippee;geez bootleg concerning;true;true
7;deed who;cross;false;true
8;maul;long-term;true;false
9;sonar;concerning;true;true
10;scrape admonish loyally;or onto;true;false
11;rubric even;frizzy unruly blindly;true;true
12;lovingly athwart;collaboration mesh smug;false;true
13;scram enlist;unrealistic brr revoke;true;true
14;deny where;synergy;true;false
15;quart;yippee abaft reclassify;true;true
16;victoriously innocently mmm;duh;false;false
17;rudely oddly transom;inexperienced abaft;false;false
18;commandeer;seldom;false;true
19;finally;sidetrack;true;false
20;haversack defrag cleverly;cantaloupe;false;true
21;scarper until;cauliflower;false;false
22;focused pant knife;earnest;false;false
23;challenge;gadzooks gust;true;true
24;drat mainstream before;how beautifully;false;false
25;remorseful hm;recount;true;false
26;acidly;chow;true;false
27;hm unfreeze cease;upside-down;false;true
28;inasmuch;overload sniff;false;false
29;oof tribe ill;once oof;false;true
30;judicious ha;on;false;true
