id;nombre;anio_lanzamiento;created_date;last_modified_date
1;crossly;1967;2026-03-25T05:00:49;2026-03-24T20:31:49
2;pfft;2087;2026-03-24T22:20:55;2026-03-25T04:52:31
3;once;2026;2026-03-25T08:19:57;2026-03-25T13:22:31
4;sans grouper;1984;2026-03-25T16:25:56;2026-03-25T18:28:34
5;whoever veg;1963;2026-03-24T21:27:10;2026-03-25T18:28:04
6;since anti;1956;2026-03-25T06:45:25;2026-03-25T10:21:12
7;dead mash;2069;2026-03-25T10:35:32;2026-03-25T05:18:34
8;gah;1984;2026-03-25T18:34:34;2026-03-25T06:20:26
9;geez ad;2070;2026-03-25T10:40:47;2026-03-25T02:18:25
10;tromp;2055;2026-03-24T21:19:45;2026-03-25T13:27:07
11;amid eek hm;1970;2026-03-25T14:01:32;2026-03-25T10:23:54
12;an;1962;2026-03-25T18:20:52;2026-03-25T09:45:03
13;dead without;2078;2026-03-25T00:43:22;2026-03-25T19:51:30
14;hose stranger;2057;2026-03-25T09:01:09;2026-03-25T08:59:20
15;knowingly save;1959;2026-03-25T09:02:46;2026-03-25T12:15:54
16;fowl subdued;2043;2026-03-25T08:45:16;2026-03-25T18:50:25
17;of;2053;2026-03-25T08:17:49;2026-03-25T17:55:37
18;carefully;1978;2026-03-25T07:48:00;2026-03-25T19:14:26
19;bran famously before;1977;2026-03-25T09:00:02;2026-03-25T03:51:39
20;instruction out;2020;2026-03-25T12:13:33;2026-03-25T17:31:47
21;slowly;2063;2026-03-25T11:42:20;2026-03-25T14:52:13
22;pace next even;2059;2026-03-25T12:26:11;2026-03-25T07:10:15
23;between indeed;2043;2026-03-25T15:28:00;2026-03-25T14:19:19
24;sans husband following;1992;2026-03-24T21:35:45;2026-03-25T12:43:34
25;for;2088;2026-03-25T03:11:04;2026-03-25T05:58:58
26;beyond;2007;2026-03-25T04:29:45;2026-03-25T07:30:02
27;gosh scrape shyly;2025;2026-03-25T02:25:15;2026-03-25T09:21:38
28;for furiously sarong;2013;2026-03-25T09:47:37;2026-03-25T19:49:23
29;equally whereas upward;1985;2026-03-25T19:14:34;2026-03-25T16:30:35
30;blah pish slip;2021;2026-03-25T16:15:46;2026-03-25T11:24:53
