id;codigo;descripcion;simbolo;activo
1;forceful h;um;mmm;true
2;phooey yet;through whoa astride;gleef;false
3;carefully;fervently;shore;true
4;unless bah;blah since wherever;finge;true
5;idle unles;hmph collaborate;mean ;false
6;roughly;because ew snarling;polit;false
7;decongesta;including;gum w;true
8;masticate;warm mobilise;ew un;true
9;up censor ;though surface;final;false
10;underneath;bah baa anti;impur;false
11;gape an;usually;until;true
12;coexist wh;about;treme;false
13;far;venture;uneve;false
14;selfish pr;outside;sideb;false
15;submitter;enormously director;anest;true
16;border sti;function why mmm;mid;true
17;sport;through;aboar;false
18;vanadyl ad;aside affiliate;circa;false
19;slump;advanced;regal;true
20;impressive;what pupil upon;healt;true
21;supposing;house focalise out;after;false
22;guilty;shallow anti clueless;misma;false
23;chops need;than;arid ;false
24;tasty josh;blah reapply;and;true
25;doubtfully;bog;rarel;true
26;drat shado;indeed interior;brr t;true
27;extricate ;though;qua d;true
28;upward wid;upside-down who;stain;false
29;loudly qui;whether gosh;suppo;false
30;pushy;footrest planula questioningly;team ;false
