id;nombre;cilindrada_cc;cilindro_cant;potencia_hp;turbo
1;salty circa;6170;2;1924;true
2;ferret oof;4306;14;971;true
3;terribly ripe ick;5944;5;14;true
4;petty than sharply;8028;9;538;false
5;someplace whoever besides;7290;16;1846;false
6;because by in;2510;16;289;false
7;instead inveigle;3216;8;1668;true
8;at however;7074;15;1642;false
9;cap whenever;5220;2;370;true
10;unlearn;1299;9;1933;true
11;strictly aboard;9661;16;545;true
12;however;226;3;153;true
13;so bashfully;6408;8;1568;false
14;inborn phooey shell;6929;11;1471;true
15;ill;9975;16;1087;true
16;vainly versus bootleg;8554;16;416;false
17;mispronounce save yahoo;1098;16;1342;false
18;entrench potentially;9897;8;87;false
19;granular;1374;2;1554;true
20;alongside;2331;8;511;false
21;equate;6906;4;845;true
22;shakily timely;2917;11;1111;false
23;absent restaurant even;2099;11;1345;true
24;deed aware first;9435;10;305;false
25;pace back that;9630;7;1223;false
26;mismatch;1427;2;1821;false
27;nor;8897;3;837;true
28;altruistic yuck;8480;6;4;true
29;shrill brr;4963;4;263;false
30;than whoa;3329;14;1708;false
