id;monto;fecha;referencia;created_date
1;19726.27;2026-03-25T00:35:16;astride;2026-03-25T03:49:49
2;22665.84;2026-03-25T15:22:28;nudge;2026-03-24T23:55:39
3;31974.18;2026-03-24T20:37:41;blah fog;2026-03-25T12:26:18
4;11803.51;2026-03-25T15:39:36;for;2026-03-25T11:54:49
5;32285.99;2026-03-25T13:34:46;phew;2026-03-24T21:37:21
6;6296.54;2026-03-25T08:37:57;once underneath;2026-03-25T18:16:41
7;9464.62;2026-03-25T16:00:38;abnormally miskey;2026-03-25T06:51:32
8;5492.35;2026-03-25T14:29:43;eek waist judicious;2026-03-25T13:58:32
9;3735.98;2026-03-25T17:49:18;nor powerfully kiddingly;2026-03-25T05:54:46
10;24590.6;2026-03-25T07:34:11;unlike hearten meatloaf;2026-03-25T03:26:11
11;19422.87;2026-03-25T11:21:01;whoever around;2026-03-25T08:07:55
12;9780.78;2026-03-25T07:57:51;trusty sate onset;2026-03-24T20:51:07
13;23584.53;2026-03-25T07:23:18;lively a;2026-03-25T03:41:23
14;22545.54;2026-03-25T06:39:46;intellect;2026-03-25T18:45:04
15;25655.13;2026-03-25T12:33:49;dilate deceivingly horn;2026-03-25T00:49:31
16;3849.52;2026-03-25T04:27:16;lotion yum pish;2026-03-25T15:59:01
17;13886.3;2026-03-25T11:56:24;yippee;2026-03-25T10:28:45
18;735.72;2026-03-25T11:22:48;poorly whole;2026-03-25T06:54:55
19;19370.71;2026-03-25T15:07:33;afore arid despite;2026-03-25T17:34:44
20;11523.16;2026-03-24T21:06:58;hourly which;2026-03-25T10:10:02
21;8003.21;2026-03-25T13:50:22;foolishly robust outrageous;2026-03-24T21:55:23
22;18703.76;2026-03-25T08:56:43;supposing average;2026-03-25T07:12:00
23;20413.31;2026-03-24T21:46:38;yowza yawningly geez;2026-03-24T20:57:19
24;1331.06;2026-03-25T03:57:21;youthful absent glum;2026-03-24T23:49:44
25;23170.67;2026-03-25T01:19:03;honestly disconnection;2026-03-24T23:25:14
26;2181;2026-03-25T11:29:41;swiftly;2026-03-24T22:51:42
27;659.92;2026-03-25T06:30:22;sleepily cool char;2026-03-25T17:57:41
28;14400.37;2026-03-25T14:19:22;concerning;2026-03-24T22:13:44
29;16073.14;2026-03-25T02:19:51;gah hopelessly until;2026-03-25T00:58:16
30;5547.06;2026-03-25T11:42:32;boohoo;2026-03-25T17:32:11
