id;nombre;descripcion
1;lest rekindle appliance;tame gadzooks elegantly
2;that bah hmph;drat
3;throughout ha;wherever excepting
4;why since beyond;hence concentration
5;beside dead solidly;near dearly
6;well-off footrest;adviser shyly overload
7;possible;an spattering ouch
8;atop ah;orange
9;insert;reassemble onto aside
10;only;ugh honored
11;busily;pish joy publication
12;or despite;across contrail
13;space impure;border deafening similar
14;if travel marten;ill
15;pro partially seriously;prickly clonk
16;retool given;which yet or
17;futon bathrobe intermarry;aw once from
18;grandiose wilderness onto;display um
19;oof geez;stale yowza anaesthetise
20;yahoo wherever kiss;promptly cheerfully
21;gullible;less
22;however;indeed although till
23;up pessimistic;guzzle
24;yippee zowie knowingly;backbone massage
25;serene complication;gee whoa
26;unto lustrous;apud
27;meh;sheepishly stint
28;oof diligently;wafer now
29;behind;faint sure-footed
30;scarcely jaggedly;recount ha thorny
