id;codigo;descripcion
1;pleased;t-shirt
2;opposite airline;shout brr once
3;ack hypothesize;during
4;mmm enrage;quarterly step
5;finer when meanwhile;uncommon winged drat
6;at;beyond once
7;gosh focalise;anti ah microchip
8;always minus nearly;restaurant towards
9;pastel ha which;waltz courageously gullible
10;helplessly next ethical;incidentally
11;provided across;cruelly gah wearily
12;aware dusk;who
13;because;upon backbone
14;monthly;milky whenever wilt
15;limited massive;plastic brr
16;of athwart;how dimly appliance
17;yippee nougat puff;zowie bestride
18;ugh hungrily duh;developmental colorfully
19;victorious;utter bah meander
20;brr develop meanwhile;cripple beside
21;likewise breastplate than;so next
22;seriously mesh adjudge;big
23;lest;weakly that
24;decode;on around
25;what sin;quarrel
26;hydrocarbon boohoo;useless function accidentally
27;request phooey;abaft deed
28;failing;memorise
29;dim;blah
30;why;crafty customise
