id;codigo;descripcion
1;requirement;humble ack doubter
2;forager sizzling alw;or barring
3;politely memorable n;mid closely the
4;jaggedly;overvalue cauliflower license
5;among beyond provide;psst
6;encode;pricey woot following
7;shear;round
8;stormy;mill
9;bossy oof ha;authorized oval reproachfully
10;up huzzah hydrolyze;finally
11;hm;absent unto victoriously
12;even;phooey general
13;qua until;yahoo
14;long;discrete sympathetically rich
15;shy eek;patroller corporation
16;carelessly but;yum
17;anenst;less attraction
18;airline boastfully;till
19;unconscious;patroller exalted not
20;gape at;browse before substantial
21;enormously;though
22;briefly meh;highly
23;defiantly;psst deadly
24;openly fervently;beneath pack
25;toward;but where
26;minus testing follow;even aha proliferate
27;downchange;appertain indelible
28;aha;phooey
29;gym;till
30;till sense;notwithstanding grade
