id;nombre;descripcion
1;pish;considering phooey marvelous
2;tennis whenever refer;devoted emboss editor
3;instantly;depot frightfully
4;zowie um inwardly;finally anguished vacantly
5;vicinity bludgeon;sonar voluminous
6;notwithstanding;quarrelsomely why
7;consign necessary fencing;although stylish
8;for cuddly;inasmuch actually pitiful
9;each;altruistic label
10;ah crushing repentant;a
11;loosely enraged phooey;provided utilized
12;aha claw;league
13;partially beneath scary;unless whereas rudely
14;via only hmph;through likewise
15;yahoo fairly;secret phew needily
16;incidentally unabashedly;towards horde
17;wherever duh;white
18;next;given juggernaut
19;contradict perspire;jaggedly vice
20;round jaggedly;below
21;huge ugh;creative gadzooks
22;astonishing;rival incidentally evenly
23;capsize the geez;lighthearted whoever equally
24;petticoat;why per tense
25;how yahoo insecure;ack unexpectedly thankfully
26;why;weight what parched
27;meanwhile incidentally forecast;sneak afore unripe
28;hepatitis quirkily;condense
29;indeed deadly;versus incidentally ew
30;suffocate;suddenly rubbery
