id;nombre;descripcion
1;for woot;ocelot ornery authorized
2;since;merrily
3;cow concerning blah;dusk which
4;for throbbing;oh horst versus
5;when whispered sundae;um
6;old-fashioned;blight frank
7;apropos thankfully;because
8;ack cheerful;oh
9;close;eek
10;petty dead mysteriously;of mmm acidic
11;intermarry;eventually
12;keenly and;average deck
13;excluding;afford gracefully
14;adjudge infinite;hubris octave
15;morbidity redact as;nor preregister though
16;furthermore;drat
17;whenever floodlight sweet;supposing ack
18;partially inasmuch;rejigger interviewer critical
19;brr;portray underneath
20;warp round;form stingy upliftingly
21;beneath;athwart upbeat flawless
22;unless;perfectly an drat
23;why inexperienced wobbly;nun
24;boo through railway;because bicycle regarding
25;uh-huh far redress;bleak thongs
26;courageous;following mmm
27;zebra whistle;aside clueless
28;gee quarterly;molasses grok hypothesize
29;hype;promptly pish
30;fabricate towards;made-up
