id;estado;fecha_fabricacion;km;patente;precio;created_date;last_modified_date
1;USADO;2026-03-25;981818;"GUN287";12892.09;2026-03-25T10:03:52;2026-03-25T14:10:06
2;USADO;2026-03-25;601074;"KJ941XX";22544.59;2026-03-24T20:32:09;2026-03-25T16:24:41
3;USADO;2026-03-25;835055;"IZV419";3474.57;2026-03-25T12:05:09;2026-03-24T22:18:41
4;USADO;2026-03-25;308336;"LDL255";4075.29;2026-03-25T00:44:12;2026-03-25T14:31:33
5;NUEVO;2026-03-25;63292;"GI878VL";30337.1;2026-03-25T10:11:37;2026-03-25T03:04:31
6;NUEVO;2026-03-25;748733;"GMA285";781.42;2026-03-25T00:47:42;2026-03-25T09:57:53
7;NUEVO;2026-03-25;578534;"PDN141";5668.94;2026-03-25T10:31:02;2026-03-25T01:12:02
8;NUEVO;2026-03-25;447059;"RA115LJ";7987.72;2026-03-25T18:17:30;2026-03-25T07:12:18
9;USADO;2026-03-24;531968;"OH165FR";15445.24;2026-03-25T17:25:47;2026-03-25T12:48:10
10;USADO;2026-03-25;976960;"PS613QJ";4619.88;2026-03-25T17:26:42;2026-03-25T10:08:37
11;NUEVO;2026-03-25;100359;"TR448BH";6636.96;2026-03-25T01:45:25;2026-03-25T03:26:35
12;USADO;2026-03-25;108679;"FOR945";18326.74;2026-03-25T00:22:24;2026-03-25T19:42:42
13;USADO;2026-03-25;629211;"AUY667";15527.57;2026-03-24T23:12:26;2026-03-25T03:38:23
14;USADO;2026-03-25;184675;"KEI532";1831.41;2026-03-25T05:03:45;2026-03-25T10:05:33
15;USADO;2026-03-25;32737;"LJ997FM";4057.42;2026-03-25T06:17:41;2026-03-25T18:34:29
16;NUEVO;2026-03-25;410455;"BIH594";11013.27;2026-03-25T16:24:47;2026-03-25T01:26:42
17;NUEVO;2026-03-25;646006;"VS443SN";7487.52;2026-03-25T12:23:25;2026-03-24T23:34:09
18;USADO;2026-03-25;543588;"FMO114";13122.66;2026-03-25T03:22:16;2026-03-24T21:36:30
19;NUEVO;2026-03-25;606732;"ZJH272";18031.41;2026-03-25T07:40:17;2026-03-25T04:55:58
20;USADO;2026-03-25;854386;"QO180OJ";124.98;2026-03-25T14:34:02;2026-03-25T08:06:33
21;USADO;2026-03-25;901262;"ULP343";8510.84;2026-03-24T21:52:52;2026-03-25T14:05:10
22;NUEVO;2026-03-25;739008;"OE298UA";17503.84;2026-03-25T07:20:28;2026-03-25T17:00:01
23;USADO;2026-03-25;209203;"VN694LM";29025.17;2026-03-25T12:23:29;2026-03-25T11:46:14
24;USADO;2026-03-25;701349;"TP705SC";29756.61;2026-03-24T20:43:45;2026-03-25T16:21:01
25;USADO;2026-03-25;903516;"WMC500";8600.89;2026-03-24T20:09:22;2026-03-25T04:49:53
26;USADO;2026-03-25;364194;"EHO520";9212.83;2026-03-25T17:00:53;2026-03-25T19:40:01
27;USADO;2026-03-25;875022;"GLX783";5995.45;2026-03-25T18:32:21;2026-03-25T09:11:20
28;NUEVO;2026-03-25;31433;"TT411QN";9022.51;2026-03-25T04:10:22;2026-03-24T21:46:55
29;NUEVO;2026-03-25;853592;"YF144HQ";23794.25;2026-03-25T16:10:40;2026-03-25T02:04:29
30;NUEVO;2026-03-24;271817;"OWN960";25215.92;2026-03-25T06:34:30;2026-03-25T12:02:53
