id;fecha;cotizacion;importe_neto;impuesto;total;porcentaje_impuesto;total_pagado;saldo;observaciones;created_date;last_modified_date
1;2026-03-25T18:55:46;4896.71;31798.42;11053.97;21580.24;20.71;13772.27;14525.03;slight fortunately;2026-03-25T07:37:45;2026-03-25T03:27:40
2;2026-03-25T01:13:02;7341.89;10522.56;20549.48;27241.9;34.84;6185.54;19114.86;whereas;2026-03-25T10:40:38;2026-03-25T11:10:04
3;2026-03-25T17:30:11;9198.79;287.05;3631.78;24706.94;19.32;14839.39;22674.01;and boohoo;2026-03-25T11:58:55;2026-03-25T14:13:55
4;2026-03-24T21:13:30;9480.19;21526.46;4338.83;16745.45;27.96;21029.25;3496.74;yeast furthermore vein;2026-03-25T05:05:09;2026-03-25T05:23:51
5;2026-03-24T22:00:26;7223.66;1117;27754;13990.39;59.06;22252.42;30079.45;blond;2026-03-25T10:57:22;2026-03-24T20:37:21
6;2026-03-25T03:13:18;10463.44;7339;3269.25;25193.52;36.29;19036.97;10812.19;saw meh gadzooks;2026-03-25T15:52:18;2026-03-25T13:04:43
7;2026-03-25T07:38:15;19215.37;21572.86;23246.35;17795.97;91.7;18327.78;17085.23;calculus;2026-03-25T13:18:55;2026-03-25T04:27:23
8;2026-03-24T23:34:49;24546.95;28241.72;2792.37;27438.1;78.95;23919.25;6104.49;meh;2026-03-24T21:43:06;2026-03-24T23:49:30
9;2026-03-25T01:34:27;10063.43;32041.72;3941.6;29940.67;25.26;2065.48;21250.99;wildly round once;2026-03-25T01:07:33;2026-03-25T02:58:42
10;2026-03-25T15:56:06;24481.68;86.22;4443.38;604.67;57.81;13485;32369.16;unto through;2026-03-25T04:18:32;2026-03-25T16:36:53
11;2026-03-24T21:51:57;12795.63;29395.31;5979.27;25856.66;77.11;17956.8;15663.99;floodlight;2026-03-25T13:21:03;2026-03-25T18:36:12
12;2026-03-25T11:33:25;6154.44;24331.61;16992.61;5904.19;1.59;30319.35;12923.18;liquid;2026-03-25T06:00:33;2026-03-25T08:08:18
13;2026-03-25T13:50:08;8360.18;5366.71;14758.45;29516.34;19.85;631.55;2974.62;inexperienced seemingly absent;2026-03-25T02:00:07;2026-03-25T16:43:43
14;2026-03-24T20:04:53;1750.51;6900.63;18494.77;11829.95;1.85;17494.13;19624.37;lined upwardly;2026-03-25T10:23:49;2026-03-25T16:14:02
15;2026-03-25T01:59:06;21881.37;17986.36;18377.13;19719.99;14.6;30371.46;6067.42;quarterly;2026-03-25T12:47:31;2026-03-25T06:40:03
16;2026-03-25T14:46:17;1131.99;15033.25;30282.35;27491.3;54.33;13020.68;16368.29;provided meh meh;2026-03-25T07:21:07;2026-03-25T09:51:08
17;2026-03-25T10:57:33;20017.23;11869.71;21201.6;4341.76;40.22;30654.07;6357.08;though or liberalize;2026-03-25T16:44:16;2026-03-25T16:29:14
18;2026-03-25T12:36:42;17665.47;11023.38;901.78;19453.96;68.37;31354.8;14553.8;since provided woot;2026-03-25T17:56:44;2026-03-24T22:59:03
19;2026-03-25T03:14:49;5899.95;18313.82;2023.77;29377.43;94.12;14467.81;1368.55;into um;2026-03-24T20:35:44;2026-03-24T22:56:49
20;2026-03-24T23:08:20;32489.18;8807.46;1266.41;22247.69;81.07;13744.26;13983.97;reporter helpfully though;2026-03-25T16:22:46;2026-03-25T08:03:33
21;2026-03-25T15:42:23;13642.05;4994.73;24152.59;6412.15;11.61;10522.78;23247.37;substitution innocently;2026-03-25T17:15:31;2026-03-25T02:38:18
22;2026-03-25T04:38:27;7413.58;20661.53;4495.61;22494.63;5.96;21787.07;10591.72;procrastinate zowie;2026-03-25T17:42:09;2026-03-24T21:35:21
23;2026-03-25T15:08:43;10973.52;17387.8;8960.34;23137.22;19.15;6270.87;10280.97;ew sunny;2026-03-25T06:24:08;2026-03-25T13:33:58
24;2026-03-25T15:17:25;30066.19;11999.84;16949.16;7520;31.58;15030.19;11295.25;anti ha bravely;2026-03-25T18:13:58;2026-03-25T09:21:39
25;2026-03-24T21:31:03;3100.38;7714.5;31463.31;14124.6;84.4;21727.94;16488.49;design ethical toward;2026-03-25T12:40:59;2026-03-25T16:30:23
26;2026-03-25T10:37:31;31383.9;24228.24;26837.58;27686;58.26;5921.3;23670.42;oof quizzically;2026-03-25T13:01:42;2026-03-25T00:15:37
27;2026-03-25T19:28:49;10798.76;26282.92;24045.45;11300.57;79.24;6830.57;14276.15;nor verbally instantly;2026-03-25T05:19:37;2026-03-25T01:46:16
28;2026-03-25T01:04:28;18031.59;6863.87;14765.64;7494.7;81.95;28316.62;32564.7;hopelessly punctually;2026-03-25T03:35:43;2026-03-25T14:22:27
29;2026-03-25T19:51:01;9503.08;3026.25;9423.05;12847.31;94.26;31275.62;3682.93;zowie amid;2026-03-25T01:07:14;2026-03-25T18:14:02
30;2026-03-25T01:05:18;11826.76;4234.39;15771.68;20366.86;24.86;3253.6;27852.46;huzzah gently which;2026-03-25T17:33:08;2026-03-25T14:40:56
