id;nombre;descripcion;anio_inicio;anio_fin
1;stained outbid;graduate;2064;2025
2;geez;unusual;2091;1997
3;instantly glow deeply;travel psst casement;1985;2098
4;affect eek;terribly;2011;2048
5;intensely than;truly;2012;2050
6;anenst zowie;clamour;2070;2090
7;easily department;as though oh;1977;2031
8;little willfully inasmuch;boastfully long;1967;1989
9;soon trash ew;given towards;2019;2012
10;mothball until refute;rim;2087;1984
11;video regularly;culture oh onto;2022;1961
12;um;drat sate;1994;2079
13;powerfully whoever;relative fail till;1955;1985
14;um once;ha;1961;1974
15;woeful arcade within;lest mooch at;2022;2029
16;rectangular hubris denitrify;because;1956;2064
17;menacing;where gee;1953;2025
18;gust the as;bathrobe mortally loosely;2065;2100
19;meh valiantly;swing while meanwhile;2043;2068
20;parallel institute;than blah charter;2081;2047
21;yum bidet;although impolite probe;2079;2028
22;onto possession;someplace disappointment;2097;2095
23;mid;yowza;2054;1999
24;bakeware gosh;avow;2037;2041
25;reporter toward often;why instead monstrous;2024;1987
26;ample overdub;boo;1965;2054
27;as jaggedly;during only blossom;1955;2061
28;hm brightly apud;jam-packed naughty;2051;1965
29;er minus ultimately;lady short-term despite;1964;2098
30;evince;times;2086;1973
